t,tau_R
3.3549999999999507,inf
3.3599999999999506,inf
3.3649999999999505,inf
3.3699999999999504,inf
3.3749999999999503,inf
3.37999999999995,inf
3.38499999999995,inf
3.38999999999995,inf
3.39499999999995,inf
3.3999999999999497,inf
3.4049999999999496,inf
3.4099999999999495,inf
3.4149999999999494,inf
3.4199999999999493,inf
3.424999999999949,inf
3.429999999999949,inf
3.434999999999949,inf
3.439999999999949,inf
3.4449999999999488,inf
3.4499999999999487,inf
3.4549999999999486,inf
3.4599999999999485,inf
3.4649999999999483,inf
3.4699999999999482,inf
3.474999999999948,inf
3.479999999999948,inf
3.484999999999948,inf
3.489999999999948,inf
3.4949999999999477,inf
3.4999999999999476,inf
3.5049999999999475,inf
3.5099999999999474,inf
3.5149999999999473,inf
3.519999999999947,inf
3.524999999999947,inf
3.529999999999947,inf
3.534999999999947,inf
3.5399999999999467,inf
3.5449999999999466,inf
3.5499999999999465,inf
3.5549999999999464,inf
3.5599999999999463,inf
3.564999999999946,inf
3.569999999999946,inf
3.574999999999946,inf
3.579999999999946,inf
3.584999999999946,inf
3.5899999999999457,inf
3.5949999999999456,inf
3.5999999999999455,inf
3.6049999999999454,inf
3.6099999999999453,inf
3.614999999999945,inf
3.619999999999945,inf
3.624999999999945,inf
3.629999999999945,inf
3.6349999999999447,inf
3.6399999999999446,inf
3.6449999999999445,inf
3.6499999999999444,inf
3.6549999999999443,inf
3.659999999999944,inf
3.664999999999944,inf
3.669999999999944,inf
3.674999999999944,inf
3.6799999999999438,inf
3.6849999999999437,inf
3.6899999999999435,inf
3.6949999999999434,inf
3.6999999999999433,inf
3.7049999999999432,inf
3.709999999999943,inf
3.714999999999943,inf
3.719999999999943,inf
3.724999999999943,inf
3.7299999999999427,inf
3.7349999999999426,inf
3.7399999999999425,inf
3.7449999999999424,inf
3.7499999999999423,inf
3.754999999999942,inf
3.759999999999942,inf
3.764999999999942,inf
3.769999999999942,inf
3.7749999999999417,inf
3.7799999999999416,inf
3.7849999999999415,inf
3.7899999999999414,inf
3.7949999999999413,inf
3.799999999999941,inf
3.804999999999941,inf
3.809999999999941,inf
3.814999999999941,inf
3.8199999999999408,inf
3.8249999999999407,inf
3.8299999999999406,inf
3.8349999999999405,inf
3.8399999999999403,inf
3.8449999999999402,inf
3.84999999999994,inf
3.85499999999994,inf
3.85999999999994,inf
3.86499999999994,inf
3.8699999999999397,inf
3.8749999999999396,inf
3.8799999999999395,inf
3.8849999999999394,inf
3.8899999999999393,inf
3.894999999999939,inf
3.899999999999939,inf
3.904999999999939,inf
3.909999999999939,inf
3.9149999999999388,inf
3.9199999999999386,inf
3.9249999999999385,inf
3.9299999999999384,inf
3.9349999999999383,inf
3.939999999999938,inf
3.944999999999938,inf
3.949999999999938,inf
3.954999999999938,inf
3.959999999999938,inf
3.9649999999999377,inf
3.9699999999999376,inf
3.9749999999999375,inf
3.9799999999999374,inf
3.9849999999999373,inf
3.989999999999937,inf
3.994999999999937,inf
3.999999999999937,inf
4.004999999999937,inf
4.009999999999937,inf
4.014999999999937,inf
4.0199999999999365,inf
4.024999999999936,inf
4.029999999999936,inf
4.034999999999936,inf
4.039999999999936,inf
4.044999999999936,inf
4.049999999999936,inf
4.054999999999936,inf
4.059999999999936,inf
4.0649999999999356,inf
4.0699999999999354,inf
4.074999999999935,inf
4.079999999999935,inf
4.084999999999935,inf
4.089999999999935,inf
4.094999999999935,inf
4.099999999999935,inf
4.104999999999935,inf
4.109999999999935,inf
4.1149999999999345,inf
4.119999999999934,inf
4.124999999999934,inf
4.129999999999934,inf
4.134999999999934,inf
4.139999999999934,inf
4.144999999999934,inf
4.149999999999934,inf
4.154999999999934,inf
4.1599999999999335,inf
4.164999999999933,inf
4.169999999999933,inf
4.174999999999933,inf
4.179999999999933,inf
4.184999999999933,inf
4.189999999999933,inf
4.194999999999933,inf
4.199999999999933,inf
4.204999999999933,inf
4.2099999999999325,inf
4.214999999999932,inf
4.219999999999932,inf
4.224999999999932,inf
4.229999999999932,inf
4.234999999999932,inf
4.239999999999932,inf
4.244999999999932,inf
4.249999999999932,inf
4.2549999999999315,inf
