t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.15,0.9865074763096924,0.0134925236903076,0.9215429496290932,0.281125705105508,inf,0.3462151389737364,-1.0606948793298527,-0.0979720520089957,0.07147808881798025,0.13864274825283115,0.04994146050543781,Stable
0.155,0.9865074763096924,0.0134925236903076,0.9305981355042706,0.4385334647389311,inf,0.3462151389737364,-1.0606948793298527,-0.103275526405645,0.07147808881798025,0.1400050676717797,0.07790465728259381,Stable
0.16,0.9865074763096924,0.0134925236903076,0.9366866899191124,0.2763409892154058,inf,0.3462151389737364,-1.0606948793298527,-0.1085790008022943,0.07147808881798025,0.1409210682958421,0.04909146459501191,Stable
0.165,0.9694090991925232,0.0305909008074768,0.940213945543478,0.4180893211750904,inf,0.3590674138761032,-1.0242450978881517,-0.113700226291735,0.07023921395126746,0.14145173093478816,0.07427279306733871,Stable
0.17,0.9878998192211892,0.0121001807788108,0.9451464264703456,0.37912931799866,inf,0.3451793571755345,-1.06369109219786,-0.1190186817527243,0.07157897199695558,0.1421938045534739,0.0673516207071051,Stable
0.175,0.9694090991925232,0.0305909008074768,0.9465228904757096,0.179510472536776,inf,0.3590674138761032,-1.0242450978881517,-0.1241399072421651,0.07023921395126746,0.14240088850181465,0.031889702761770784,Stable
0.18,0.9661967772278784,0.0338032227721216,0.9497655460978376,0.1919312308871828,inf,0.361509011610076,-1.0174682816502445,-0.1292272486504163,0.07000646291773273,0.14288873411689992,0.03409622746349318,Stable
0.185,0.9661967772278784,0.0338032227721216,0.9483201137191944,0.0461169977793027,inf,0.361509011610076,-1.0174682816502445,-0.1343145900586675,0.07000646291773273,0.14267127413039646,0.008192599187470333,Stable
0.19,0.9614615774146512,0.0385384225853489,0.9568379484731134,0.4182398050508579,inf,0.3651234373588784,-1.0075197706382792,-0.1393521889118589,0.06966337070510514,0.1439527510489949,0.07429952624897902,Stable
0.1950000000000001,0.9579067064951664,0.0420932935048335,0.9585098957784556,0.4251726729571097,inf,0.3678488195380159,-1.0000832145091136,-0.1443526049844045,0.06940580004758727,0.14420428937332352,0.07553113738393215,Stable
0.2000000000000001,0.9579067064951664,0.0420932935048335,0.9585718354701942,0.3994949316080913,inf,0.3678488195380159,-1.0000832145091136,-0.1493530210569501,0.06940580004758727,0.144213607972193,0.07096953422149788,Stable
0.2050000000000001,0.8790028716005389,0.120997128399461,0.95218019184428,0.5699711607738558,inf,0.4307993338099558,-0.8421128568905814,-0.153563585341403,0.06368876753225851,0.14325200869078553,0.10125432039145237,Stable
0.2100000000000001,0.9438615232744774,0.0561384767255226,0.9553981467549646,0.5329391920305752,inf,0.3787151035383891,-0.9709710358704956,-0.1584184405207555,0.06838814647899125,0.14373613817465883,0.09467565977506706,Stable
0.2150000000000001,0.9408380920312516,0.0591619079687485,0.9608835269281868,0.2744406962046627,inf,0.3810744618094351,-0.9647604588892889,-0.1632422428152019,0.06816908165472173,0.14456139345194483,0.048753881063441334,Stable
0.2200000000000001,0.9438615232744774,0.0561384767255226,0.9606250815718363,0.0173267422523184,inf,0.3787151035383891,-0.9709710358704956,-0.1680970979945544,0.06838814647899125,0.144522511298387,0.003078063649701829,Stable
0.2250000000000001,0.9438615232744774,0.0561384767255226,0.9601970481967544,0.4627690721996786,inf,0.3787151035383891,-0.9709710358704956,-0.1729519531739069,0.06838814647899125,0.14445811525098717,0.08221006803246445,Stable
0.2300000000000001,0.9438615232744774,0.0561384767255226,0.9612747429083414,0.2889479658841572,inf,0.3787151035383891,-0.9709710358704956,-0.1778068083532593,0.06838814647899125,0.1446202504576556,0.05133107063587228,Stable
0.2350000000000001,0.9408380920312516,0.0591619079687485,0.9622176585867258,0.3232247023909007,inf,0.3810744618094351,-0.9647604588892889,-0.1826306106477058,0.06816908165472173,0.14476210865436204,0.05742026935167227,Stable
0.2400000000000001,0.9369687986785992,0.0630312013214008,0.961502641312994,0.2358113004930006,inf,0.3841041845339458,-0.9568414232682813,-0.1874148177640472,0.06788872930001044,0.14465453693465183,0.04189144050661335,Stable
0.2450000000000001,0.8840565375074565,0.1159434624925435,0.965088116946718,0.3880413464529442,inf,0.4266360960579957,-0.8518238397284513,-0.1916739369626895,0.06405493442832941,0.14519395855993053,0.06893482604546407,Stable
0.2500000000000001,0.8840565375074565,0.1159434624925435,0.9615390200842916,0.0850161079483338,inf,0.4266360960579957,-0.8518238397284513,-0.1959330561613317,0.06405493442832941,0.1446600099870286,0.015102954017791676,Stable
0.2550000000000001,0.8209227920146672,0.1790772079853327,0.9657333487733474,0.7114294390802832,inf,0.4797432033473247,-0.7345042904219538,-0.1996055776134415,0.05948053476475433,0.14529103131572568,0.12638412136983065,Stable
0.2600000000000001,0.8209227920146672,0.1790772079853327,0.9676601456472756,0.6962667577471802,inf,0.4797432033473247,-0.7345042904219538,-0.2032780990655512,0.05948053476475433,0.1455809108205647,0.1236904991318019,Stable
0.2650000000000001,0.9138796945912548,0.0861203054087452,0.9665093551090148,0.5867034175589114,inf,0.4024176251768937,-0.910264836164614,-0.2078294232463743,0.06621579212283218,0.14540777861554696,0.10422677479964704,Stable
0.2700000000000001,0.926893756651314,0.0731062433486859,0.9680081019467168,0.4673647997670331,inf,0.3920465781292945,-0.9363745989848432,-0.2125112962412985,0.06715873508692544,0.14563325956637826,0.08302649051760377,Stable
0.2750000000000001,0.926893756651314,0.0731062433486859,0.9676448719863148,0.0705423858230705,inf,0.3920465781292945,-0.9363745989848432,-0.2171931692362227,0.06715873508692544,0.1455786129544345,0.012531724106196672,Stable
0.2800000000000001,0.926893756651314,0.0731062433486859,0.9687702167217278,0.1708784207985947,inf,0.3920465781292945,-0.9363745989848432,-0.2218750422311469,0.06715873508692544,0.14574791693197814,0.030356234768150334,Stable
0.2850000000000001,0.9138796945912548,0.0861203054087452,0.966734544446865,0.2432736126912577,inf,0.4024176251768937,-0.910264836164614,-0.22642636641197,0.06621579212283218,0.14544165752340402,0.0432171064388291,Stable
0.2900000000000001,0.9071083515881964,0.0928916484118035,0.9659549839521074,0.4778048844945107,inf,0.4078622776692741,-0.8968256917764895,-0.2309104948708525,0.06572516973201141,0.14532437551341626,0.08488115222096905,Stable
