t,omega,F,S,C,tau_R,IC,kappa,kappa_cum
1.02,0.5285509124268445,0.4714490875731555,0.9207658952275193,0.6612167792253297,0.5400000000000001,0.5032821250492336,-0.6866043614601797,-0.2295463119902878
1.03,0.5285509124268445,0.4714490875731555,0.9299496577735863,0.6155598466880433,0.5400000000000001,0.5823589089529454,-0.5406683220996611,-0.2349529952112844
1.04,0.49308393832886455,0.5069160616711355,0.9295478091719768,0.6323799935334208,0.5400000000000001,0.585732669214462,-0.5348917723012455,-0.2403019129342969
1.05,0.49308393832886455,0.5069160616711355,0.9334869752564556,0.19360858688330138,0.5400000000000001,0.6763955470571361,-0.3909772304932761,-0.24421168523922965
1.06,0.3317883377890493,0.6682116622109506,0.9353947409342747,0.6743044034845118,0.5400000000000001,0.8330776966752071,-0.18262835584172127,-0.24603796879764686
1.07,0.34294706016615956,0.6570529398338405,0.9403309110538717,0.24082524578425446,0.5400000000000001,0.7928383186714634,-0.2321359511820813,-0.24835932830946766
1.08,0.34294706016615956,0.6570529398338405,0.9391854117545313,0.5791781440615129,0.5400000000000001,0.7492038761980717,-0.28874412129528865,-0.25124676952242053
1.09,0.3317883377890493,0.6682116622109506,0.9396204874007903,0.2422822623530814,0.5400000000000001,0.8092643403091337,-0.2116296534826732,-0.2533630660572473
1.1,0.20540120751060137,0.7945987924893987,0.9343532092728136,0.5375501783780012,0.5400000000000001,0.9300402029651054,-0.07252745402222119,-0.25408834059746954
1.11,0.34294706016615956,0.6570529398338405,0.9403016162665957,0.1698249719805175,0.5400000000000001,0.869954796016977,-0.13931401578972827,-0.2554814807553668
1.12,0.07428350666306496,0.9257164933369351,0.9360697633999606,0.5013886498889409,0.5400000000000001,0.9935561842639661,-0.006464656673407513,-0.2555461273221009
1.1300000000000001,0.07428350666306496,0.9257164933369351,0.9307179942299003,0.5566958172299495,0.5400000000000001,0.9303272302605168,-0.07221888347913712,-0.2562683161568923
1.1400000000000001,0.33309424627816353,0.6669057537218365,0.9340227400724931,0.7092979052198154,0.5400000000000001,0.8406628220932569,-0.1735646124840121,-0.2580039622817324
1.1500000000000001,0.448650787704761,0.551349212295239,0.9296197273390401,0.7625949365911595,0.6299999999999999,0.6001970055347186,-0.5104973184395516,-0.2631089354661279
1.16,0.448650787704761,0.551349212295239,0.9320954474257768,0.6624023928087217,0.6299999999999999,0.683906272472138,-0.3799343846764753,-0.2669082793128926
1.17,0.448650787704761,0.551349212295239,0.928075986087918,0.15709941012504622,0.6299999999999999,0.6183425563797468,-0.4807126605696607,-0.2717154059185893
1.18,0.3840697972742298,0.6159302027257703,0.9237981340185357,0.6947897234096051,0.6299999999999999,0.5335760555595144,-0.628153640035309,-0.27799694231894234
1.19,0.3840697972742298,0.6159302027257703,0.9211523482215482,0.4967575198973822,0.6299999999999999,0.6399828134191948,-0.446313941396084,-0.28246008173290316
1.2,0.3840697972742298,0.6159302027257703,0.9179537571897632,0.2720502982499631,0.6299999999999999,0.6373515176186437,-0.4504339269275803,-0.286964421002179
1.21,0.3840697972742298,0.6159302027257703,0.9197716734884074,0.685910360921551,0.6299999999999999,0.5950727792550454,-0.5190715460363794,-0.29215513646254276
1.22,0.15811588814741898,0.841884111852581,0.9198671422440112,0.765536495728861,0.6299999999999999,0.8148995053664535,-0.20469046737149926,-0.29420204113625775
1.23,0.16872527879828564,0.8312747212017144,0.9198734746134962,0.6046563015615318,0.6299999999999999,0.7131086887721165,-0.3381214174917567,-0.2975832553111753
1.24,0.39454488468798476,0.6054551153120152,0.9198617499704673,0.321951883744425,0.6299999999999999,0.6405745796179688,-0.44538970912836456,-0.30203715240245893
1.25,0.39454488468798476,0.6054551153120152,0.920376056613682,0.5857077430306568,0.6299999999999999,0.5678558418016205,-0.5658876745084972,-0.30769602914754396
1.26,0.2456273620210953,0.7543726379789046,0.918794242602397,0.12540630734060593,0.6299999999999999,0.725121836192509,-0.3214155745347805,-0.31091018489289174
1.27,0.34862582503462525,0.6513741749653748,0.9148779642689429,0.6363847969098263,0.6299999999999999,0.7654600622515157,-0.2672782242891236,-0.313582967135783
1.28,0.39454488468798476,0.6054551153120152,0.9175142366493172,0.5986384935792762,0.6299999999999999,0.6941160051241018,-0.3651161636797565,-0.31723412877258056
1.29,0.34862582503462525,0.6513741749653748,0.9131426815010715,0.28989224583364237,0.6299999999999999,0.770750729439397,-0.26039025283988976,-0.3198380313009795
1.3,0.34862582503462525,0.6513741749653748,0.9141630772572841,0.6532315340840344,0.6299999999999999,0.8272432651888189,-0.1896564613294208,-0.32173459591427367
1.31,0.34862582503462525,0.6513741749653748,0.9112942738420254,0.6410332937758151,0.6299999999999999,0.7939247186978826,-0.23076662235742879,-0.324042262137848
1.32,0.4722328976487352,0.5277671023512648,0.9101026727182796,0.6175333178971849,0.6299999999999999,0.762712238088988,-0.2708744510855196,-0.32675100664870316
1.33,0.23925745306994603,0.7607425469300539,0.9106260477068294,0.6632600431788057,0.6299999999999999,0.8866728206204779,-0.1202792140710591,-0.3279537987894138
1.34,0.18983322384975207,0.8101667761502479,0.9147808007155382,0.6685193390671627,0.6299999999999999,0.9587846253336187,-0.042088801442236375,-0.3283746868038361
1.35,0.17106092950396287,0.8289390704960371,0.9176372045733973,0.4501702545589632,0.6299999999999999,0.9667696467106476,-0.03379501592600797,-0.3287126369630962
1.36,0.13637218831137302,0.863627811688627,0.9188055872214662,0.03184261234938917,0.6299999999999999,0.9770388607438703,-0.023228841913112093,-0.3289449253822273
1.37,0.13270045681459763,0.8672995431854024,0.9143630529435236,0.391156072315746,0.6299999999999999,0.9783174686803106,-0.021921041297582405,-0.3291641357952031
1.3800000000000001,0.13270045681459763,0.8672995431854024,0.9233101464009735,0.13240629986662836,0.6299999999999999,0.9696298323767204,-0.030840886111925012,-0.32947254465632236
1.3900000000000001,0.12326814486474295,0.8767318551352571,0.9251771109558831,0.22080331133651887,0.6299999999999999,0.9822586407975672,-0.01790061345833182,-0.32965155079090563
1.4000000000000001,0.13270045681459763,0.8672995431854024,0.9324337535535958,0.324808061565889,0.6299999999999999,0.9750046508710526,-0.025313027615149045,-0.3299046810670571
1.41,0.14673470400592223,0.8532652959940777,0.9093345836610377,0.44050899166258356,0.6299999999999999,0.9753776980453218,-0.024930490134536316,-0.3301539859684025
1.42,0.14673470400592223,0.8532652959940777,0.9095725298733892,0.5323593613117217,0.6299999999999999,0.9482054419392087,-0.053184078752955694,-0.33068582675593206
1.43,0.0968045664188566,0.9031954335811434,0.9055775920287082,0.3793679303854852,0.6299999999999999,0.9870419050506442,-0.013042773327111812,-0.3308162544892032
1.44,0.12472539642040177,0.8752746035795982,0.8959504227225953,0.1587766077157774,0.6299999999999999,0.9697798297924031,-0.03068620253231744,-0.33112311651452636
1.45,0.12472539642040177,0.8752746035795982,0.8947512128815146,0.20560747653533318,0.6299999999999999,0.9654774498422515,-0.035132522966347925,-0.3314744417441899
1.46,0.12472539642040177,0.8752746035795982,0.8992434008125865,0.6422224602286041,0.6299999999999999,0.9631500224729264,-0.03754608235863399,-0.3318499025677762
1.47,0.12472539642040177,0.8752746035795982,0.9001912201503313,0.717806884180593,0.6299999999999999,0.857303330425449,-0.1539634668563429,-0.3333895372363396
1.48,0.13015221691527587,0.8698477830847241,0.9012875805256565,0.3179324677732551,0.6299999999999999,0.8750673019277491,-0.13345446766589555,-0.3347240819129985
1.49,0.1735486168499247,0.8264513831500753,0.9029988179425449,0.2284724323355577,0.6299999999999999,0.8608182522026621,-0.14987187441552666,-0.3362228006571537
1.5,0.1735486168499247,0.8264513831500753,0.9005356498812623,0.4611587278571899,0.6299999999999999,0.8149514563203477,-0.20462671804165805,-0.3382690678375703
1.51,0.21083035170060438,0.7891696482993956,0.9002884040477126,0.6529006720627649,0.6299999999999999,0.8465756799523625,-0.1665556662233017,-0.33993462449980333
1.52,0.21083035170060438,0.7891696482993956,0.8991787812591018,0.3614481741718735,0.6299999999999999,0.729514112935227,-0.3153765514599812,-0.3430883900144032
1.53,0.3129799515814168,0.6870200484185832,0.9013941598812937,0.52972221063232,0.6299999999999999,0.6174269802512997,-0.48219445188109433,-0.3479103345332141
1.54,0.3130841941387444,0.6869158058612557,0.9008024767193821,0.5296643391195349,0.6299999999999999,0.6342765274834116,-0.45527024064739974,-0.3524630369396881
1.55,0.3129799515814168,0.6870200484185832,0.9004475901687956,0.6614181272866506,0.6299999999999999,0.5952455495461453,-0.518781253456269,-0.3576508494742508
1.56,0.2066403512322727,0.7933596487677272,0.8994626660630242,0.627629600791273,0.6299999999999999,0.7023433843721769,-0.3533328287865684,-0.36118417776211653
1.57,0.2066403512322727,0.7933596487677272,0.8997146647174513,0.5088892668744897,0.6299999999999999,0.6596620272955687,-0.41602763981525337,-0.36534445416026906
1.58,0.2066403512322727,0.7933596487677272,0.9034709866057,0.1923689291856612,0.6299999999999999,0.7014579615785507,-0.3545942934531746,-0.3688903970948008
1.59,0.2066403512322727,0.7933596487677272,0.9019289280584036,0.5817440563126901,0.6299999999999999,0.6989716497741895,-0.35814508152706565,-0.37247184791007143
1.6,0.2066403512322727,0.7933596487677272,0.9098990071755491,0.7335372272350207,0.6299999999999999,0.6126703725732177,-0.48992819961717854,-0.3773711299062432
1.61,0.44241577629555034,0.5575842237044497,0.9034880841030207,0.6438829325402151,0.6299999999999999,0.6142182217863816,-0.4874049876217961,-0.38224517978246114
1.62,0.44241577629555034,0.5575842237044497,0.9220089905445489,0.7581919704044323,0.6299999999999999,0.5984685850160278,-0.5133812281828645,-0.3873789920642898
1.6300000000000001,0.34954170396675827,0.6504582960332417,0.9240729950078056,0.7757035482077095,0.6299999999999999,0.837483324955439,-0.17735391404156436,-0.38915253120470544
